Name,Date,High,Low,Open,Close,Volume,Marketcap
Ethereum,2024-04-14,3297.6372,2874.401,3231.1639,3024.3586,32796794122.344948,384236672197.23346
Ethereum,2024-04-13,3559.298,3207.709,3515.9494,3245.0984,20597446897.686413,413222734268.30664
Ethereum,2024-04-12,3619.6398,3487.4192,3544.0727,3516.6996,23359330960.536587,425841437102.52264
Ethereum,2024-04-11,3559.9659,3426.2983,3505.5251,3547.5273,25494309764.846153,421861208539.6189
Ethereum,2024-04-10,3719.8724,3480.2572,3702.1783,3510.2155,27414389831.860622,432872592945.6272
Ethereum,2024-04-09,3724.6406,3422.8278,3456.3606,3699.5419,20463939705.55052,430431125658.2892
Ethereum,2024-04-08,3463.4984,3352.8106,3360.5925,3462.0489,12749497898.470385,408159883981.91986
Ethereum,2024-04-07,3397.7313,3316.7243,3318.1087,3365.1664,16843599707.247389,401605907921.0488
Ethereum,2024-04-06,3343.0863,3225.0019,3324.0272,3326.061,23831950603.118465,396494426863.8397
Ethereum,2024-04-05,3439.675,3262.6895,3314.8306,3331.3943,20347805872.010525,401101564956.02454
Ethereum,2024-04-04,3365.8964,3221.5134,3283.1728,3321.2273,27226114831.296165,398621870510.1742
Ethereum,2024-04-03,3511.5634,3229.8141,3511.5634,3279.5594,28351731556.358887,400451645261.00696
Ethereum,2024-04-02,3652.7203,3429.8378,3652.7203,3511.6981,18201134326.12892,425281550994.6167
Ethereum,2024-04-01,3659.4654,3517.0681,3517.0681,3653.6502,14470853501.923346,433640851431.5122
Ethereum,2024-03-31,3568.2412,3497.0488,3516.4117,3519.1419,16656105596.710802,423417638388.7979
Ethereum,2024-03-30,3586.3339,3487.5848,3567.225,3520.503,18536682158.29021,425081161185.0909
Ethereum,2024-03-29,3611.656,3476.2504,3505.8286,3567.0539,25601507536.755245,427348384029.5805
Ethereum,2024-03-28,3660.0635,3470.6405,3591.1871,3509.6288,23415479518.853657,427963136941.0139
Ethereum,2024-03-27,3676.7396,3553.2567,3587.7997,3595.4684,26064494721.574913,434136144727.83624
Ethereum,2024-03-26,3649.4378,3433.4649,3452.4423,3591.7146,19646724946.3554,422803962851.85016
Ethereum,2024-03-25,3473.0892,3309.7432,3345.325,3460.4793,16352496809.58885,405839941531.16376
Ethereum,2024-03-24,3431.2827,3288.2894,3331.1195,3356.3987,24481657007.91986,404503390067.9582
Ethereum,2024-03-23,3551.8292,3265.4496,3505.3801,3326.7581,27183652182.027973,410744031950.0524
Ethereum,2024-03-22,3585.6894,3425.0405,3509.118,3501.3058,44245048506.19512,422368503013.94775
