Name,Date,High,Low,Open,Close,Volume,Marketcap
Solana,2024-04-14,154.0832,122.6448,152.9253,140.2334,12999382837.268291,65536125717.1324
Solana,2024-04-13,175.6878,150.0654,173.0366,153.661,6849854008.306621,74499950496.18118
Solana,2024-04-12,176.0544,170.5147,172.8637,172.9904,7459801916.878049,77286138314.06271
Solana,2024-04-11,175.236,164.1298,172.1572,173.2881,7052221027.555944,76027791524.41608
Solana,2024-04-10,180.5807,170.4951,180.2091,172.77,5965575478.23345,78317912353.82927
Solana,2024-04-09,183.8753,176.0033,178.6061,180.5745,5428330615.104529,80153766186.38327
Solana,2024-04-08,182.1192,177.3028,178.3131,179.3911,5471577644.184669,80178145690.58885
Solana,2024-04-07,179.5696,173.8846,174.2456,179.0086,6015238920.947735,78516283624.10104
Solana,2024-04-06,184.6679,169.1089,183.3183,175.0379,7703262569.968641,78147799633.54704
Solana,2024-04-05,189.5326,181.0782,185.1134,183.7231,6641843893.71579,82371732935.56491
Solana,2024-04-04,191.3136,178.3907,181.2036,185.4166,9545843429.818815,83286597929.87108
Solana,2024-04-03,192.0343,177.4315,192.0343,181.2036,9043196790.400698,81557693939.78746
Solana,2024-04-02,204.0388,187.9481,202.4483,192.8238,7325107524.229965,87171083653.66551
Solana,2024-04-01,202.8148,194.3824,195.0197,202.4097,5085081848.759582,87601426910.53659
Solana,2024-03-31,199.3188,191.2758,191.5395,194.841,7240770668.069686,86998243513.22997
Solana,2024-03-30,192.6701,183.8853,189.1803,191.8811,6127292684.090909,83253506083.13637
Solana,2024-03-29,190.5304,181.3066,185.6602,189.2208,7487891722.86014,82623063703.63986
Solana,2024-03-28,192.2264,180.9432,190.3191,186.2169,7921551683.142858,82937684353.18816
Solana,2024-03-27,196.121,186.8691,188.8687,191.0537,8418444707.808362,85244449116.91986
Solana,2024-03-26,194.0132,181.6583,183.5205,189.1513,7866425126.094077,83728276679.64111
Solana,2024-03-25,185.8435,172.1692,174.0882,183.2111,5328791220.135888,78115080621.5784
Solana,2024-03-24,178.2593,171.6244,173.9777,173.4681,8046602980.56446,77705535887.4669
Solana,2024-03-23,181.3523,168.5572,179.1178,173.0469,10430319329.923077,77550002663.23077
Solana,2024-03-22,194.3096,176.5214,190.1742,179.674,16243635104.49826,82940087566.63414
Solana,2024-03-21,192.0836,165.1314,170.5682,190.69,20558049700.41812,77741422732.2648
Solana,2024-03-20,198.1076,167.872,196.9711,171.1391,22103233200.334496,80497757545.554
Solana,2024-03-19,208.7454,195.8927,201.3316,196.6727,17741099137.37631,89708713497.9791
Solana,2024-03-18,203.2228,180.5058,183.4066,202.5703,20415910447.01394,84583087046.12892
Solana,2024-03-17,197.1447,178.0706,183.3194,181.2849,21967861943.432056,83438854828.6899
Solana,2024-03-16,188.0502,165.3978,177.6689,183.5691,24649911614.79021,79004145148.7063
Solana,2024-03-15,177.0204,160.5427,163.4243,175.7236,13447695511.662022,74720465535.27177
Solana,2024-03-14,164.9946,149.0469,150.5041,163.6903,10502949776.72474,68669299028.097565
Solana,2024-03-13,154.1499,144.1937,148.321,150.535,10030088747.174215,66525309955.32753
Solana,2024-03-12,149.7141,138.056,144.1659,148.6751,8306731819.222997,64614312127.16028
Solana,2024-03-11,148.3952,140.9658,144.2038,144.3929,5099806426.696864,64550016534.66202
Solana,2024-03-10,148.9921,144.2045,145.2426,144.6302,8195215340.299651,64889827521.29269
Solana,2024-03-09,151.8042,142.6645,144.5304,145.1075,10376514312.073172,64839413469.85714
Solana,2024-03-08,149.0008,130.9144,130.9144,144.0417,11967775386.289198,62943172656.6446
Solana,2024-03-07,134.8424,120.6177,125.7591,130.7684,17194700460.12892,57033856463.81533
Solana,2024-03-06,141.9073,118.6473,132.5722,125.9925,11816922385.557896,57622675130.73333
Solana,2024-03-05,134.8661,127.896,130.9054,133.0174,7539509475.142858,57903176167.10802
Solana,2024-03-04,131.7676,125.9135,130.1136,130.3812,6458512623.686411,57399706714.93031
Solana,2024-03-03,131.1936,127.7335,130.4864,129.7422,7962879161.344948,57197670924.97212
Solana,2024-03-02,137.0855,126.4416,126.4416,130.0437,13120719656.167248,58788665049.96167
Solana,2024-03-01,134.2203,117.8943,118.4486,125.5798,16343797821.456446,56224376931.599304
Solana,2024-02-29,117.4907,107.5599,108.559,117.4243,7440969013.1777,49283951366.82927
Solana,2024-02-28,112.0777,105.8427,110.1741,108.3856,7257808740.672474,48506674383.61672
Solana,2024-02-27,110.3399,100.6004,103.3279,109.8877,3602276719.1567945,46276780149.585365
Solana,2024-02-26,104.3067,102.2683,104.099,103.4764,2526351904.5365853,45519548840.61672
Solana,2024-02-25,104.7638,98.8332,100.079,104.3578,3519592104.404181,45071804079.059235
Solana,2024-02-24,103.2998,99.1901,102.2074,100.1682,3895451494.804878,44905768523.09408
Solana,2024-02-23,107.0925,101.9579,104.6254,102.1345,5003840477.731708,46105821955.90941
Solana,2024-02-22,108.6175,100.9192,108.3772,105.8153,5532102701.550523,46170703482.18118
Solana,2024-02-21,111.9561,105.5481,111.8868,108.4411,5092622440.181185,48075516399.020905
Solana,2024-02-20,114.478,111.2814,111.8127,111.3852,4151211535.439024,49569975650.67596
Solana,2024-02-19,113.7868,108.1427,109.2551,112.4817,3533843602.229965,48953215321.40418
Solana,2024-02-18,111.0884,106.2208,110.6313,109.3634,4046703476.090592,47999137897.059235
Solana,2024-02-17,114.185,108.599,113.533,110.7946,5345773972.829268,49099274575.04878
Solana,2024-02-16,118.1529,111.9211,117.0984,113.5726,5567308636.167248,50554767046.72125
Solana,2024-02-15,118.416,110.9927,112.3177,116.9288,5988167593.0069685,50217307464.28223
Solana,2024-02-14,114.5823,108.4726,111.7872,112.6044,6893967585.365853,49259910983.979095
Solana,2024-02-13,111.7915,103.6882,107.415,111.7915,4447687470.609756,46899901825.585365
Solana,2024-02-12,110.2795,107.2353,108.7917,107.4627,3610469672.881533,47535283360.76307
Solana,2024-02-11,110.3904,106.93,106.93,108.9224,5770836952.188153,47504863263.547035
Solana,2024-02-10,108.6521,102.9356,102.9463,106.7064,5432765542.547038,45963110934.98606
Solana,2024-02-09,104.6447,100.6137,100.9502,102.7791,5178402151.132404,44642064397.623695
Solana,2024-02-08,101.1412,94.869,97.0136,100.8498,3753384802.606272,42236985904.02439
Solana,2024-02-07,97.7516,93.4462,95.5664,96.9596,3859718565.8850174,41739876703.097565
Solana,2024-02-06,98.3337,94.3598,95.4736,95.6788,3546011228.641115,41997880260.76307
Solana,2024-02-05,98.4398,95.2364,97.813,95.5576,2854641504.773519,42382162100.29269
Solana,2024-02-04,100.9926,96.8047,100.1152,97.7148,4162551129.6655054,43046193916.17073
Solana,2024-02-03,102.2959,97.3975,97.3975,100.3841,5752280734.529616,43549514802.77352
Solana,2024-02-02,97.959,93.2415,97.1341,97.6694,7608682471.536586,41767116532.33798
Solana,2024-02-01,102.4638,96.1906,101.1821,97.1097,7609656413.404181,43541939120.097565
Solana,2024-01-31,106.1341,101.0659,101.4517,101.2836,6565033487.184669,45168255702.51568
Solana,2024-01-30,101.5667,95.161,95.383,101.4756,5545186644.473867,42610959570.10802
Solana,2024-01-29,99.0853,93.497,94.2784,95.9148,4250863905.958188,41660810617.874565
Solana,2024-01-28,94.3891,90.8447,92.1362,94.1036,4029054883.672474,40065271610.45644
Solana,2024-01-27,93.5644,86.1689,86.7573,92.2294,4350111484.940766,39012953725.50174
Solana,2024-01-26,89.499,85.2266,88.6089,86.9808,4672361997.968641,37905850132.74216
Solana,2024-01-25,89.0015,83.3637,84.1505,89.0015,6594419762.163763,37261776005.83972
Solana,2024-01-24,85.8826,79.1284,84.0737,84.1726,6858042083.365853,35732744156.452965
Solana,2024-01-23,91.6562,83.1186,91.2768,83.5028,3800171235.7665505,37979094364.52265
Solana,2024-01-22,93.809,90.9712,92.9114,90.9712,2390143294.731707,40096634803.205574
Solana,2024-01-21,93.8684,90.4238,93.2701,92.5936,4921040834.205575,39976229292.30314
