Start,End,Open,High,Low,Close,Volume,Market Cap
2024-04-13,2024-04-14,152.9253,154.0832,122.6448,140.2334,12999382837.268293,65536125717.1324
2024-04-12,2024-04-13,173.0366,175.6878,150.0654,153.661,6849854008.306621,74499950496.18118
2024-04-11,2024-04-12,172.8637,176.0544,170.5147,172.9904,7459801916.878049,77286138314.06271
2024-04-10,2024-04-11,172.1572,175.236,164.1298,173.2881,7052221027.555944,76027791524.41608
2024-04-09,2024-04-10,180.2091,180.5807,170.4951,172.77,5965575478.23345,78317912353.82927
2024-04-08,2024-04-09,178.6061,183.8753,176.0033,180.5745,5428330615.104529,80153766186.38327
2024-04-07,2024-04-08,178.3131,182.1192,177.3028,179.3911,5471577644.184669,80178145690.58885
2024-04-06,2024-04-07,174.2456,179.5696,173.8846,179.0086,6015238920.947735,78516283624.10104
2024-04-05,2024-04-06,183.3183,184.6679,169.1089,175.0379,7703262569.968641,78147799633.54704
2024-04-04,2024-04-05,185.1134,189.5326,181.0782,183.7231,6641843893.71579,82371732935.56491
2024-04-03,2024-04-04,181.2036,191.3136,178.3907,185.4166,9545843429.818815,83286597929.87108
2024-04-02,2024-04-03,192.0343,192.0343,177.4315,181.2036,9043196790.400698,81557693939.78746
2024-04-01,2024-04-02,202.4483,204.0388,187.9481,192.8238,7325107524.229965,87171083653.66551
2024-03-31,2024-04-01,195.0197,202.8148,194.3824,202.4097,5085081848.759582,87601426910.53659
2024-03-30,2024-03-31,191.5395,199.3188,191.2758,194.841,7240770668.069686,86998243513.22997
2024-03-29,2024-03-30,189.1803,192.6701,183.8853,191.8811,6127292684.090909,83253506083.13637
2024-03-28,2024-03-29,185.6602,190.5304,181.3066,189.2208,7487891722.86014,82623063703.63986
2024-03-27,2024-03-28,190.3191,192.2264,180.9432,186.2169,7921551683.142858,82937684353.18816
2024-03-26,2024-03-27,188.8687,196.121,186.8691,191.0537,8418444707.808362,85244449116.91986
2024-03-25,2024-03-26,183.5205,194.0132,181.6583,189.1513,7866425126.094077,83728276679.64111
2024-03-24,2024-03-25,174.0882,185.8435,172.1692,183.2111,5328791220.135888,78115080621.5784
2024-03-23,2024-03-24,173.9777,178.2593,171.6244,173.4681,8046602980.56446,77705535887.4669
2024-03-22,2024-03-23,179.1178,181.3523,168.5572,173.0469,10430319329.923077,77550002663.23077
2024-03-21,2024-03-22,190.1742,194.3096,176.5214,179.674,16243635104.498259,82940087566.63414
2024-03-20,2024-03-21,170.5682,192.0836,165.1314,190.69,20558049700.418118,77741422732.2648
2024-03-19,2024-03-20,196.9711,198.1076,167.872,171.1391,22103233200.334496,80497757545.554
2024-03-18,2024-03-19,201.3316,208.7454,195.8927,196.6727,17741099137.37631,89708713497.9791
2024-03-17,2024-03-18,183.4066,203.2228,180.5058,202.5703,20415910447.01394,84583087046.12892
2024-03-16,2024-03-17,183.3194,197.1447,178.0706,181.2849,21967861943.432056,83438854828.6899
2024-03-15,2024-03-16,177.6689,188.0502,165.3978,183.5691,24649911614.79021,79004145148.7063
2024-03-14,2024-03-15,163.4243,177.0204,160.5427,175.7236,13447695511.662022,74720465535.27177
2024-03-13,2024-03-14,150.5041,164.9946,149.0469,163.6903,10502949776.72474,68669299028.097565
2024-03-12,2024-03-13,148.321,154.1499,144.1937,150.535,10030088747.174215,66525309955.32753
2024-03-11,2024-03-12,144.1659,149.7141,138.056,148.6751,8306731819.222997,64614312127.16028
2024-03-10,2024-03-11,144.2038,148.3952,140.9658,144.3929,5099806426.696864,64550016534.66202
2024-03-09,2024-03-10,145.2426,148.9921,144.2045,144.6302,8195215340.299651,64889827521.29269
2024-03-08,2024-03-09,144.5304,151.8042,142.6645,145.1075,10376514312.073172,64839413469.85714
2024-03-07,2024-03-08,130.9144,149.0008,130.9144,144.0417,11967775386.289198,62943172656.6446
2024-03-06,2024-03-07,125.7591,134.8424,120.6177,130.7684,17194700460.12892,57033856463.81533
