Start,End,Open,High,Low,Close,Volume,Market Cap
2024-04-13,2024-04-14,594.875,598.6123,520.1952,556.4911,5401195769.696864,86721600678.70732
2024-04-12,2024-04-13,605.9197,626.3403,584.0673,597.1419,3588268460.383275,91351719277.14285
2024-04-11,2024-04-12,609.2402,615.9983,593.8487,605.3837,3368401451.630662,90486656206.08362
2024-04-10,2024-04-11,580.4495,610.0007,574.7967,609.7329,2522755569.076923,88278786355.68532
2024-04-09,2024-04-10,587.735,589.7062,573.3335,581.5226,2230135972.083624,86943437255.11497
2024-04-08,2024-04-09,583.3217,599.6299,579.1745,587.9014,1650932169.5958188,88028398290.8641
2024-04-07,2024-04-08,586.5489,590.6089,579.3897,584.1145,1179652082.5052264,87692033524.67944
2024-04-06,2024-04-07,578.051,590.3602,576.1732,586.1148,1631802776.794425,87161872178.09756
2024-04-05,2024-04-06,582.6233,589.3791,566.3589,580.2602,2946546156.045296,86654101617.65506
2024-04-04,2024-04-05,562.8208,597.7228,562.8208,584.9792,2836142932.273684,87380639650.18947
2024-04-03,2024-04-04,551.8864,566.9043,542.567,562.7554,2860107439.2020907,83429521731.39722
2024-04-02,2024-04-03,577.4573,578.1098,549.5274,551.626,3153529500.5783973,83705379641.27875
2024-04-01,2024-04-02,607.0448,608.0467,570.7041,577.3528,3037043804.529617,87723143807.36934
2024-03-31,2024-04-01,601.836,608.9645,601.836,607.3094,1577068373.8222997,90586674640.39372
2024-03-30,2024-03-31,611.8235,611.8235,598.6805,602.257,2907228976.752613,90594909064.58885
2024-03-29,2024-03-30,584.624,619.446,583.146,614.9665,3128687361.5664334,90866815411.1958
2024-03-28,2024-03-29,575.1117,590.8471,575.1117,583.6681,2526368462.5594406,87416550732.94756
2024-03-27,2024-03-28,580.6835,584.7586,566.912,574.6708,2332112922.369338,86195996323.20209
2024-03-26,2024-03-27,586.8333,596.8645,573.3373,580.5642,2674373225.5993032,87755108644.554
2024-03-25,2024-03-26,567.2152,596.654,565.8333,587.0772,2607675068.9407663,87430740450.72473
2024-03-24,2024-03-25,554.0538,572.0193,550.4143,568.571,1952534451.71777,83603499593.1777
2024-03-23,2024-03-24,550.1358,566.7554,547.2848,553.8682,3498677318.8292685,83307478027.79094
2024-03-22,2024-03-23,553.1927,587.1129,537.648,549.8404,4007716406.8846154,84054099881.18881
2024-03-21,2024-03-22,553.3552,569.1492,544.2114,554.2225,4377338628.013937,83151359918.81882
2024-03-20,2024-03-21,509.6169,559.0243,504.077,556.9658,5700125321.216028,78884761338.26132
2024-03-19,2024-03-20,556.0513,559.4597,503.263,509.3673,7063307072.533101,78449606569.37282
2024-03-18,2024-03-19,571.9611,584.4582,543,554.64,5904689298.045296,83924167103.74913
2024-03-17,2024-03-18,581.2452,589.4369,553.9097,573.3671,5920091447.87108,86247920024.07317
2024-03-16,2024-03-17,635.7216,637.9922,572.8677,577.7715,8456930589.296167,90248834434.41115
2024-03-15,2024-03-16,604.3747,627.5972,548.1168,627.5972,8712271846.122377,87868195457.25874
2024-03-14,2024-03-15,625.2382,625.4604,570.8281,602.7047,8683451875,90492868650.5993
2024-03-13,2024-03-14,535.8499,628.0128,532.0949,628.0128,7441427173.71777,85838848733.31358
2024-03-12,2024-03-13,522.7347,545.8959,522.2301,537.4103,5486624449.240418,79827111857.16725
2024-03-11,2024-03-12,528.0127,531.749,511.2969,522.2225,6401058681.874564,77949591583.81882
2024-03-10,2024-03-11,488.4774,535.7118,486.6184,528.461,4397447636.299651,76953011331.1359
